Program;Threads;Test;Temps
WriterReader_AC;4;5;0.14
WriterReader_AC;8;1;1.45
WriterReader_AC;8;2;1.35
WriterReader_AC;8;3;0.87
WriterReader_AC;8;4;0.99
WriterReader_AC;8;5;1.58
WriterReader_AC;16;1;6.38
WriterReader_AC;16;2;6.19
WriterReader_AC;16;3;4.44
WriterReader_AC;16;4;7.33
WriterReader_AC;16;5;5.01
WriterReader_AC;32;1;29.18
WriterReader_AC;32;2;19.96
WriterReader_AC;32;3;27.07
WriterReader_AC;32;4;26.90
WriterReader_AC;32;5;27.41
Test-and-set;1;1;0.14
Test-and-set;1;2;0.15
Test-and-set;1;3;0.14
Test-and-set;1;4;0.13
Test-and-set;1;5;0.14
Test-and-set;2;1;0.14
Test-and-set;2;2;0.14
Test-and-set;2;3;0.15
Test-and-set;2;4;0.15
Test-and-set;2;5;0.15
Test-and-set;4;1;0.15
Test-and-set;4;2;0.14
Test-and-set;4;3;0.15
Test-and-set;4;4;0.15
Test-and-set;4;5;0.15
Test-and-set;8;1;0.28
Test-and-set;8;2;0.34
Test-and-set;8;3;0.31
Test-and-set;8;4;0.23
Test-and-set;8;5;0.28
Test-and-set;16;1;0.47
Test-and-set;16;2;0.46
Test-and-set;16;3;0.43
Test-and-set;16;4;0.49
Test-and-set;16;5;0.62
Test-and-set;32;1;1.57
Test-and-set;32;2;0.69
Test-and-set;32;3;0.73
Test-and-set;32;4;1.06
Test-and-set;32;5;0.92
Test-and-set;64;1;1.86
Test-and-set;64;2;1.59
Test-and-set;64;3;1.47
Test-and-set;64;4;1.69
Test-and-set;64;5;1.62
Test-and-test-and-set;1;1;0.13
Test-and-test-and-set;1;2;0.13
Test-and-test-and-set;1;3;0.13
Test-and-test-and-set;1;4;0.13
Test-and-test-and-set;1;5;0.12
Test-and-test-and-set;2;1;0.13
Test-and-test-and-set;2;2;0.13
Test-and-test-and-set;2;3;0.13
Test-and-test-and-set;2;4;0.13
Test-and-test-and-set;2;5;0.14
Test-and-test-and-set;4;1;0.14
Test-and-test-and-set;4;2;0.13
Test-and-test-and-set;4;3;0.14
Test-and-test-and-set;4;4;0.14
Test-and-test-and-set;4;5;0.14
Test-and-test-and-set;8;1;0.33
Test-and-test-and-set;8;2;0.31
Test-and-test-and-set;8;3;0.28
Test-and-test-and-set;8;4;0.36
Test-and-test-and-set;8;5;0.25
Test-and-test-and-set;16;1;0.69
Test-and-test-and-set;16;2;0.61
Test-and-test-and-set;16;3;0.56
Test-and-test-and-set;16;4;0.61
Test-and-test-and-set;16;5;0.55
Test-and-test-and-set;32;1;0.78
Test-and-test-and-set;32;2;0.96
Test-and-test-and-set;32;3;0.85
Test-and-test-and-set;32;4;0.97
Test-and-test-and-set;32;5;0.82
Test-and-test-and-set;64;1;1.95
Test-and-test-and-set;64;2;1.73
Test-and-test-and-set;64;3;1.41
Test-and-test-and-set;64;4;1.98
Test-and-test-and-set;64;5;2.01
